Manufacturer;Model Number;Pmax;PTC;Technology;A_c;N_s;N_p;BIPV;Isc;Voc;Ipmax;Vpmax;NOCT;Tc_pmax;Tc_isc;Tc_voc;Short Side;Long Side;ISC_Rear;Prear_max
LG Electronics Inc.;LG375N2T-A4;375;345.4;Mono-c-Si;1.95;72;1;N;9.82;49.1;9.24;40.6;46.8;-0.37;0.03;-0.27;0.98;1.99;0;0
LG Electronics Inc.;LG375N2W-B3;375;343.1;Mono-c-Si;1.901;72;1;N;9.99;48.6;9.62;39;47.5;-0.39;0.02;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG375N2W-G4;375;346.9;Mono-c-Si;1.901;72;1;N;10.04;48.3;9.5;39.5;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG380N2C-G4;380;351.6;Mono-c-Si;1.901;72;1;N;10.1;48.6;9.55;39.8;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG380N2K-G4;380;351.9;Mono-c-Si;1.901;72;1;N;9.94;49.1;9.43;40.3;45.7;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG380N2T-A4;380;350.1;Mono-c-Si;1.95;72;1;N;9.86;49.4;9.28;41;46.8;-0.37;0.03;-0.27;0.98;1.99;0;0
LG Electronics Inc.;LG380N2W-G4;380;351.6;Mono-c-Si;1.901;72;1;N;10.1;48.6;9.55;39.8;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG385N2C-G4;385;356.4;Mono-c-Si;1.901;72;1;N;10.16;48.9;9.61;40.1;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG385N2W-G4;385;356.4;Mono-c-Si;1.901;72;1;N;10.16;48.9;9.61;40.1;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
Jinko Solar Co.;JKM350M-72;350;322;Multi-c-Si;1.835;72;1;N;9.38;47.5;8.94;39.1;44.9;-0.409;0.065;-0.308;0.954;1.924;0;0
Jinko Solar Co.;JKM350M-72B;350;319.6;Mono-c-Si;1.835;72;1;N;9.38;47.5;8.94;39.1;46.2;-0.417;0.069;-0.308;0.954;1.924;0;0
Jinko Solar Co.;JKM350M-72B-J4;350;319.6;Mono-c-Si;1.835;72;1;N;9.38;47.5;8.94;39.1;46.2;-0.417;0.069;-0.308;0.954;1.924;0;0
Jinko Solar Co.;JKM350M-72-J4;350;322;Mono-c-Si;1.835;72;1;N;9.38;47.5;8.94;39.1;44.9;-0.41;0.0867;-0.31;0.954;1.924;0;0
Jinko Solar Co.;JKM350P-72;350;320.3;Multi-c-Si;1.835;72;1;N;9.36;48;9.07;38.6;45.3;-0.426;0.065;-0.325;0.954;1.924;0;0
Jinko Solar Co.;JKM350PP-72;350;320.3;Multi-c-Si;1.835;72;1;N;9.36;48;9.07;38.6;45.3;-0.426;0.065;-0.325;0.954;1.924;0;0
Jinko Solar Co.;JKM350PP-72-J4;350;320.3;Multi-c-Si;1.835;72;1;N;9.36;48;9.07;38.6;45.3;-0.426;0.065;-0.325;0.954;1.924;0;0
Jinko Solar Co.;JKMS350M-72;350;321.4;Mono-c-Si;1.835;72;1;N;9.38;47.5;8.94;39.1;45;-0.416;0.0573;-0.329;0.954;1.924;0;0
Jinko Solar Co.;JKMS350M-72-J4;350;321.4;Mono-c-Si;1.835;72;1;N;9.38;47.5;8.94;39.1;45;-0.416;0.0573;-0.329;0.954;1.924;0;0
Jinko Solar Co.;JKM355M-72;355;326.8;Multi-c-Si;1.835;72;1;N;9.45;47.8;9.04;39.3;44.9;-0.409;0.065;-0.308;0.954;1.924;0;0
Jinko Solar Co.;JKM355M-72B;355;324.3;Mono-c-Si;1.835;72;1;N;9.45;47.8;9.04;39.3;46.2;-0.417;0.069;-0.308;0.954;1.924;0;0
Jinko Solar Co.;JKM355M-72B-J4;355;324.3;Mono-c-Si;1.835;72;1;N;9.45;47.8;9.04;39.3;46.2;-0.417;0.069;-0.308;0.954;1.924;0;0
Jinko Solar Co.;JKM355M-72-J4;355;326.7;Mono-c-Si;1.835;72;1;N;9.45;47.8;9.04;39.3;44.9;-0.41;0.0867;-0.31;0.954;1.924;0;0
Jinko Solar Co.;JKMS355M-72;355;326.1;Mono-c-Si;1.835;72;1;N;9.45;47.8;9.04;39.3;45;-0.416;0.0573;-0.329;0.954;1.924;0;0
Jinko Solar Co.;JKMS355M-72-J4;355;326.1;Mono-c-Si;1.835;72;1;N;9.45;47.8;9.04;39.3;45;-0.416;0.0573;-0.329;0.954;1.924;0;0
Jinko Solar Co.;JKM360M-72;360;331.5;Multi-c-Si;1.835;72;1;N;9.51;48;9.12;39.5;44.9;-0.409;0.065;-0.308;0.954;1.924;0;0
Jinko Solar Co.;JKM365M-72;365;336.3;Multi-c-Si;1.835;72;1;N;9.57;48.2;9.2;39.7;44.9;-0.409;0.065;-0.308;0.954;1.924;0;0
LG Electronics Inc.;Bi_LG425N2T-E6;425;425;Mono-c-Si;0.662;144;1;Y;10.88;48.8;10.5;48;42;-0.33;0.04;-0.26;1.12;2.172;1.53;60
LG Electronics Inc.;Bi_LG440N2T-E6;440;440;Mono-c-Si;0.662;144;1;Y;11.06;49.7;10.507;47.215;42;-0.33;0.04;-0.26;1.12;2.172;1.55;60
LG Electronics Inc.;Bi_LG435N2T-E6;435;435;Mono-c-Si;0.662;144;1;Y;11;49.4;10.45;46.93;42;-0.33;0.04;-0.26;1.12;2.172;1.54;60
LG Electronics Inc.;Bi_LG430N2T-E6;430;430;Mono-c-Si;0.662;144;1;Y;10.94;49.1;10.393;46.645;42;-0.33;0.04;-0.26;1.12;2.172;1.53;60
LG Electronics Inc.;Bi_LG405N2T-J5;405;405;Mono-c-Si;0.662;72;1;Y;10.26;49.8;9.747;47.31;42;-0.36;0.03;-0.27;1.024;2.024;1.25;50
LG Electronics Inc.;Bi_LG400N2T-J5;400;400;Mono-c-Si;0.662;72;1;Y;10.22;49.7;9.709;47.215;42;-0.36;0.03;-0.27;1.024;2.024;1.26;50
LG Electronics Inc.;Bi_LG415N2T-L5;415;415;Mono-c-Si;0.662;72;1;Y;10.5;49.5;9.975;47.025;42;-0.35;0.03;-0.26;1.024;2.024;1.38;55
LG Electronics Inc.;Bi_LG410N2T-L5;410;410;Mono-c-Si;0.662;72;1;Y;10.46;49.4;9.937;46.93;42;-0.35;0.03;-0.26;1.024;2.024;1.4;55
LG Electronics Inc.;Bi_LG405N2T-L5;405;405;Mono-c-Si;0.662;72;1;Y;10.42;49.3;9.899;46.835;42;-0.35;0.03;-0.26;1.024;2.024;1.41;55
LG Electronics Inc.;Bi_LG400N2T-A5;400;400;Mono-c-Si;0.662;72;1;Y;10.22;49.7;9.709;47.215;45;-0.36;0.03;-0.27;1.024;2.024;2.04;80
LG Electronics Inc.;Bi_LG390N2T-A5;390;390;Mono-c-Si;0.662;72;1;Y;10.15;49.2;9.6425;46.74;45;-0.36;0.03;-0.27;1.024;2.024;2.03;78
