Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
1090,40.09123322,-5.184539431,Tietar,7079.314236,320.381,410.329,34,0.065980762,2,63850.59689637323,17.5,60.86,0.01
1091,40.11135406,-5.182472054,Tietar,4861.832506,322.79,599.314,62,0.047320508,17,93819.29504902285,17.5,60.86,0.02
1092,40.10215005,-5.178663149,Tietar,5922.468591,322.511,20303.385,51,0.048660254,6,3187295.129925762,17.5,60.86,0.53
1093,40.1119569,-5.179345914,Tietar,4834.552451,323.52,846.928,64,0.047320508,19,132910.96605724035,17.5,60.86,0.02
1094,40.11091536,-5.179366527,Tietar,4948.957311,323.393,94.962,63,0.047320508,9,14333.552479444405,17.5,60.86,0.0
1095,40.11175336,-5.171664409,Tietar,4950.764467,325.25,149.295,65,0.033660254,8,22803.521774840443,17.5,60.86,0.0
1096,40.11396037,-5.171809249,Tietar,4706.038491,325.556,204.768,69,0.033660254,15,31924.844944171546,17.5,60.86,0.01
1097,40.11627383,-5.170256527,Tietar,4470.32465,326.309,183.41,72,0.028660254,18,28667.172990435436,17.5,60.86,0.0
1098,40.11704745,-5.169493645,Tietar,4394.477052,326.599,411.807,74,0.02,22,64501.127824258816,17.5,60.86,0.01
1099,40.10416165,-5.166680205,Tietar,5847.356334,325.242,3168.615,56,0.052320508,3,497123.4446285774,17.5,60.86,0.08
1100,40.10938549,-5.164194573,Tietar,5302.651854,326.664,24572.108,60,0.042320508,3,3857090.351439713,17.5,60.86,0.64
1101,40.09831175,-5.162804516,Tietar,6538.652744,325.213,306.43,52,0.043660254,3,47562.76220173943,17.5,60.86,0.01
1102,40.11381325,-5.159436923,Tietar,4873.568154,328.624,7568.263,69,0.018660254,3,1187748.5042883519,17.5,60.86,0.2
1103,40.11016779,-5.153634365,Tietar,5342.702916,329.367,922.466,62,0.028660254,3,144642.1867762591,17.5,60.86,0.02
