Pos;Latitud;Longitud;Cuenca;Distancia;Variacion;area;EC;Rosa;Regadios
876;40.44281461;-5.067250987;Alberche;7847.594955;358.325;869.537;2;-0.080621778;0
877;40.44874328;-5.380212915;Tormes;15218.95972;233.436;2230.546;5;-0.074641016;14
878;40.45962126;-5.04065658;Alberche;5069.386732;309.665;1489.098;2;-0.071961524;0
879;40.46499561;-5.311905392;Tormes;12590.27776;260.585;266.461;3;-0.17660254;8
880;40.47028407;-5.381278301;Tormes;16739.4265;234.623;153.968;16;-0.11830127;0
881;40.48442597;-5.370220813;Tormes;16183.64512;238.582;131.975;18;-0.136961524;0
882;40.4852297;-5.370526491;Tormes;16182.45485;238.484;130.974;18;-0.136961524;0
883;40.48606789;-5.374941162;Tormes;18376.62137;237.179;92.982;18;-0.126961524;0
884;40.49143703;-5.361927776;Tormes;15292.25724;240.805;337.937;18;-0.141961524;0
885;40.49402164;-5.362244694;Tormes;15246.21963;240.551;133.475;18;-0.124641016;0
886;40.4940883;-5.360911691;Tormes;15134.79468;240.857;1103.294;18;-0.114641016;0
887;40.49421242;-5.358920473;Tormes;14967.73221;241.431;118.478;18;-0.124641016;0
888;40.49432324;-5.370644602;Tormes;15930.36202;238.207;135.973;18;-0.11830127;0
889;40.4964893;-5.362211022;Tormes;15179.45796;240.353;1969.132;18;-0.109641016;0
890;40.49680628;-5.358768766;Tormes;14887.24617;241.248;127.976;18;-0.109641016;0
891;40.49815368;-5.360544953;Tormes;15000.99546;240.644;3449.364;18;-0.109641016;0
892;40.49828032;-5.349110421;Tormes;14052.74099;243.579;357.436;19;-0.12330127;0
893;40.49840203;-5.368235773;Tormes;15632.6011;238.672;176.466;18;-0.109641016;0
894;40.49849511;-5.348063859;Tormes;13960.92085;243.791;323.943;19;-0.12830127;0
895;40.49979343;-5.33364459;Tormes;12738.75864;247.182;206.966;17;-0.13830127;0
896;40.50188367;-5.40083357;Tormes;18405.41718;230.398;1898.583;15;-0.082320508;0
